Acres,"County, State",Property Location or City,Total Purchase Price,PURCHASE DATE,SALE DATE - start,Cash Sales Price - amount,Title Escrow Cost - amount,Taxes We Paid - amount,days_to_sale,markup_multiple,flag_missing_dates,flag_negative_days,flag_zero_cost,flag_zero_sale,flag_loss_sale,flag_extreme_days
2.57,"Los Angeles, CA",Lancaster,2503.56,2025-12-04,2025-12-22,8000.0,0.0,0.0,18.0,3.1954496796561696,False,False,False,False,False,False
2.5,"Los Angeles, CA",Palmdale,1302.66,2025-10-20,2025-10-23,4000.0,0.0,179.24,3.0,3.0706400749236176,False,False,False,False,False,False
0.32,"Riverside, CA",Mecca,14054.26,2025-10-06,2025-11-18,47538.53,2019.04,0.0,43.0,3.3824996833700243,False,False,False,False,False,False
2.48,"Kern, CA",Rosamond,6627.85,2025-10-03,2025-10-16,20000.0,0.0,695.22,13.0,3.0175698001614397,False,False,False,False,False,False
0.19,"San Bernardino, CA",Twentynine Palms,5043.22,2025-10-01,2026-01-10,16150.0,0.0,0.0,101.0,3.2023191532393986,False,False,False,False,False,False
8.97,"San Bernardino, CA",Adelanto,16137.79,2025-09-30,2025-10-17,34995.0,607.03,0.0,17.0,2.168512541060455,False,False,False,False,False,False
2.77,"San Bernardino, CA",Kramer Junction,1248.65,2025-09-30,2025-10-23,3995.0,0.0,0.0,23.0,3.199455411844792,False,False,False,False,False,False
2.31,"Los Angeles, CA",Lancaster,4328.01,2025-09-12,2025-10-15,17000.0,0.0,0.0,33.0,3.927902199856285,False,False,False,False,False,False
10.0,"Kern, CA",Rosamond,14462.86,2025-09-12,2026-01-14,,2182.14,254.41,124.0,,False,False,False,False,False,False
2.24,"Mohave, AZ",Yucca,1535.89,2025-09-11,2025-09-29,5000.0,0.0,0.0,18.0,3.255441470417803,False,False,False,False,False,False
10.0,"Kern, CA",Rosamond,9194.76,2025-09-10,2025-11-30,21945.83,881.24,89.41,81.0,2.386775728784656,False,False,False,False,False,False
2.33,"Los Angeles, CA",Llano,3208.69,2025-09-05,2025-09-30,9000.0,0.0,0.0,25.0,2.8048829896312824,False,False,False,False,False,False
10.0,"Kern, CA",California City,1703.47,2025-08-28,2025-11-18,6500.0,0.0,0.0,82.0,3.8157408114026077,False,False,False,False,False,False
