"County, State",county_avg_days,county_count
"(Winnebago, IL)",64.0,1
"Alamosa, CO.",251.0,1
"Anderson, SC",108.33333333333333,3
"Apache, AZ",155.0,1
"BERRIEN, MI",246.0,1
"Bernalillo, NM",210.33333333333334,3
"Bowie, TX",152.86666666666667,15
"Charlotte, FL",25.0,2
"Chaves, NM",86.25,4
"Clark, NV",168.33333333333334,3
"Cochise, AZ",174.15384615384616,26
"Coconino County, AZ",194.5,2
"Coconino, AZ",152.54545454545453,11
"Cook, IL",71.0,4
"Costilla , CO",247.0,1
"Costilla County, CO",86.0,2
"Costilla, CO",117.83333333333333,12
"Curry, NM",293.0,1
"Dallas, TX",5.5,2
"DeWitt, TX",345.0,1
"El Paso, TX",65.0,1
"Elkhart, IN",167.0,1
"Guadalupe, TX",209.0,1
"Hawaii, HI",12.0,1
"Howard, IN",103.5,2
"Imperial, CA",51.166666666666664,6
"Iron, UT",163.0,2
Jackson,134.0,1
"Jackson, MO",125.66666666666667,3
"Jasper, TX",36.0,1
"Jefferson, TX",174.6,5
Kern,9.8,5
Kern CA,198.0,1
Kern County,47.0,2
Kern County CA,62.5,2
"Kern County, CA",108.65671641791045,67
"Kern County, CA.",34.55555555555556,9
"Kern, CA",70.15217391304348,322
"Kern, CA.",259.0,1
"Kern, Ca",258.0,1
"LIBERTY, TX",307.0,1
"Lake, CA",10.5,2
"Lake, IL",53.5,2
"Lake, IN",364.0,1
"Lake, OR",189.66666666666666,3
"Lea, NM",90.0,1
"Lee, FL",24.285714285714285,7
"Levy, FL",101.2,5
"Liberty, TX",27.0,1
Los Angeles,35.5,10
Los Angeles County CA,4.0,1
"Los Angeles County, CA",53.23076923076923,13
"Los Angeles, CA",67.01904761904763,210
"Los Angeles, CA.",31.0,1
"Los Angeles,CA",17.0,1
"Lyon, NV",22.0,1
"MARION, IN",262.0,1
"Madera, CA",293.0,1
"Madison, IN",137.0,1
"Maricopa, AZ",126.75,4
"Marion, FL",69.14285714285714,7
"McLennan, TX",11.0,1
"Modoc County, CA",177.0,1
Mohave County,211.0,1
"Mohave County, AZ",63.30434782608695,23
"Mohave, AZ",93.9888888888889,90
"Mohave, Arizona",65.5,2
"Mohave,AZ",9.0,2
Mohave. AZ,26.0,1
"Muskogee, OK",185.0,2
"Navajo, AZ",82.25,4
"Nye, NV",110.08080808080808,99
"Oklahoma, OK",182.75,4
"Orange, TX",78.0,5
"Park County, CO",47.0,1
"Park, CO",70.0,3
"Payne, OK",213.5,2
"Peoria, IL",207.25,4
"Pinal, AZ",58.266666666666666,15
"Pueblo, CO",101.31818181818181,22
"Putnam County, FL",142.0,1
"Richland, SC",56.5,2
Riverside,112.0,1
"Riverside County, CA",99.71428571428571,7
"Riverside, CA",71.6896551724138,29
"SAN BERNARDINO, CA",13.0,1
"Saint Johns, FL",85.0,1
"Saint Louis City, MO",12.0,1
San Bernardino,23.4,10
San Bernardino County,6.0,1
"San Bernardino County, CA",28.53846153846154,13
"San Bernardino, CA",69.0326530612245,245
"San Bernardino,CA",11.0,1
"San Diego, CA",42.0,3
San Luis Obisbo,3.0,1
San Luis Obispo,38.333333333333336,3
San Luis Obispo County CA,32.0,2
"San Luis Obispo County, CA",58.25,4
"San Luis Obispo County, CA.",82.0,2
"San Luis Obispo, CA",72.66666666666667,66
"San Luis Obispo, Ca",17.0,1
"San Luis Obispo,CA",8.0,1
"Sangamon, IL",268.0,1
"Sebastian, AR",289.0,1
"Shasta, CA",0.5,2
"Shawnee, KS",165.0,3
"Shelby, TN",151.0,1
"Sierra, NM",88.0,1
"Siskiyou, CA",0.0,1
"St. Joseph, IN",86.0,1
"St. Louis, MO",306.0,1
"Taylor, TX",26.0,6
Taylor. TX,19.0,1
"Torrance, NM",140.76923076923077,13
"Van Zandt, TX",195.5,2
"Walton, FL",126.0,1
"Wichita, TX",76.14285714285714,7
"Winnebago, IL",56.857142857142854,7
"Wyandotte, KS",155.75,4
"Yavapai, AZ",149.16666666666666,6
